circuitId,url,circuitName,locality,country,latitude,longitude
phoenix,http://en.wikipedia.org/wiki/Phoenix_street_circuit,Phoenix street circuit,Phoenix,USA,33.4479,-112.075
portimao,http://en.wikipedia.org/wiki/Algarve_International_Circuit,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267
red_bull_ring,http://en.wikipedia.org/wiki/Red_Bull_Ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647
reims,http://en.wikipedia.org/wiki/Reims-Gueux,Reims-Gueux,Reims,France,49.2542,3.93083
ricard,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167
riverside,http://en.wikipedia.org/wiki/Riverside_International_Raceway,Riverside International Raceway,California,USA,33.937,-117.273
rodriguez,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907
sebring,http://en.wikipedia.org/wiki/Sebring_Raceway,Sebring International Raceway,Florida,USA,27.4547,-81.3483
sepang,http://en.wikipedia.org/wiki/Sepang_International_Circuit,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738
shanghai,http://en.wikipedia.org/wiki/Shanghai_International_Circuit,Shanghai International Circuit,Shanghai,China,31.3389,121.22
silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
sochi,http://en.wikipedia.org/wiki/Sochi_Autodrom,Sochi Autodrom,Sochi,Russia,43.4057,39.9578
spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
suzuka,http://en.wikipedia.org/wiki/Suzuka_Circuit,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
tremblant,http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant,Circuit Mont-Tremblant,Quebec,Canada,46.1877,-74.6099
valencia,http://en.wikipedia.org/wiki/Valencia_Street_Circuit,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667
vegas,https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit,Las Vegas Strip Street Circuit,Las Vegas,United States,36.1147,-115.173
villeneuve,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
watkins_glen,http://en.wikipedia.org/wiki/Watkins_Glen_International,Watkins Glen,New York State,USA,42.3369,-76.9272
yas_marina,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031
yeongam,http://en.wikipedia.org/wiki/Korean_International_Circuit,Korean International Circuit,Yeongam County,Korea,34.7333,126.417
zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092
zeltweg,http://en.wikipedia.org/wiki/Zeltweg_Airfield,Zeltweg,Styria,Austria,47.2039,14.7478
zolder,http://en.wikipedia.org/wiki/Zolder,Zolder,Heusden-Zolder,Belgium,50.9894,5.25694
